OBJECTID_1,OBJECTID,Fire_Name,Fire_Year,Cause,Acres,Perimeter,Shape_Leng,Complex,Fire_Num,Label,Agency,TOT_ACRES_,Shape_Le_1,Shape_STArea_1,Shape_STLength_1,time_,comments,unit_id,fire,inc_num,Shape__Area,Shape__Length
586,151,Sand Arroyo,2017,,49.8450808827901,,2581.01553988,,201,,BLM,49.84492392,,,,, ,MT/MCFO,,,201715.255157471,2580.99162243636
587,152,Sand Creek North-Rosebud,2017,,0.505518814221034,,239.47676387,,438,,CTY,0.5055172,,,,, ,MT/LG29,,,2045.75566101074,239.398099106418
588,153,Sarpy Fork,2017,,362.031662972924,,5138.25687639,,563,,BLM,362.03050854,,,,,Coal Seam,MT/MCFO,,,1465085.4866333,5138.03737057844
589,154,Sartin,2017,,57.4979552178265,,2445.9792781,,69,,BLM,57.49778017,,,,, ,MT/MCFO,,,232685.244186401,2445.35733537517
590,155,Sartin Draw,2017,,99894.2994395638,,159778.770097,,543,,BLM,99713.9698402,,,,, ,MT/MCFO,,,404256699.352371,155086.360021378
591,156,Sawmill-Rosebud,2017,,8.17179182688144,,713.36780027,,45,,CTY,8.17176695,,,,, ,MT/LG29,,,33069.9697418213,713.483635206
592,157,Schiller Creek,2017,,3.20068060164535,,694.28272456,,580,,BLM,3.20067058,,,,, ,MT/MCFO,,,12952.6543426514,694.400958706974
593,159,Sheep Creek,2017,,4.23512844418119,,505.07714477,,92,,BLM,4.23511641,,,,, ,MT/MCFO,,,17138.9036102295,505.05121753987
594,160,Shep,2017,,0.15696606035055,,152.14911945,,110,,BLM,0.15696542,,,,, ,MT/MCFO,,,635.217056274414,152.149050319765
595,161,Sierra-Rosebud,2017,,115.748978564266,,3388.72639529,,585,,CTY,115.74863224,,,,,Coal Seam,MT/LG29,,,468418.084747314,3388.1413423999
596,162,Sixteen,2017,,107.292059433832,,3748.40986019,,434,,DNRC,107.29175193,,,,, ,MT/EAS,,,434194.329193115,3748.23347916691
597,164,Skinner,2017,,10.6517302470116,,1074.82300386,,60,,BLM,10.65169611,,,,, ,MT/MCFO,,,43105.8885650635,1075.02220394296
598,165,Slough Grass-Rosebud,2017,,44.0471854435044,,1771.23826476,,143,,CTY,44.04705343,,,,,Coal Seam,MT/LG29,,,178252.099334717,1770.57975953368
599,166,Smokeoff,2017,,43.2813717003207,,2089.75786616,,359,,BLM,43.28124872,,,,, ,MT/MCFO,,,175152.989852905,2089.93555972627
600,168,Snake,2017,,7589.79523496938,,37502.4246457,,547,,BLM,7589.77156874,,,,, ,MT/MCFO,,,30714715.7364197,37499.5213444812
601,172,Soap,2017,,1.59443282626409,,485.92084591,,188,,BLM,1.59442811,,,,, ,MT/MCFO,,,6452.42073822021,485.862942204432
602,174,South,2017,,74.2877243774084,,2945.09414181,,299,,BLM,74.28748875,,,,, ,MT/MCFO,,,300630.811981201,2944.92368971861
603,175,South Cottonwood-Rosebud,2017,,3.80367426544392,,678.1751105,,572,,CTY,3.80366185,,,,,Coal Seam,MT/LG29,,,15392.8754882813,677.834014472251
